date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:08	2327/2327	---MCZ	200	added ('OK')	text/html	date:Tue,%2020%20May%202025%2023:26:08%20GMT	https://www.kodub.com/apps/polytrack	C:/Users/franc/Desktop/Coding/PolyTrackMirror/www.kodub.com/apps/polytrack.html	(from )
18:26:47	72/72	---M-Z	200	added ('OK')	text/plain	etag:%224a-5e2e7bafcb680-gzip%22	https://www.kodub.com/robots.txt		(from )
18:26:54	31933/31933	---M--	200	added ('OK')	image/jpeg	etag:%227cbd-632389a90c440%22	https://www.kodub.com/apps/polytrack/image	C:/Users/franc/Desktop/Coding/PolyTrackMirror/www.kodub.com/apps/polytrack/image.jpg	(from https://www.kodub.com/apps/polytrack)
18:26:54	309/309	---M-Z	200	added ('OK')	text/css	etag:%22135-61eb6b96be100-gzip%22	https://www.kodub.com/css/app.css	C:/Users/franc/Desktop/Coding/PolyTrackMirror/www.kodub.com/css/app.css	(from https://www.kodub.com/apps/polytrack)
18:26:56	409/409	---M--	200	added ('OK')	image/png	etag:%22199-5e2b0f66ccc00%22	https://www.kodub.com/favicon/favicon-16x16.png	C:/Users/franc/Desktop/Coding/PolyTrackMirror/www.kodub.com/favicon/favicon-16x16.png	(from https://www.kodub.com/apps/polytrack)
18:26:56	1097/1097	---M--	200	added ('OK')	image/png	etag:%22449-5e2b0f8274d40%22	https://www.kodub.com/favicon/favicon-32x32.png	C:/Users/franc/Desktop/Coding/PolyTrackMirror/www.kodub.com/favicon/favicon-32x32.png	(from https://www.kodub.com/apps/polytrack)
18:26:56	1925/1925	---M--	200	added ('OK')	image/png	etag:%22785-5e2b0f9a4c580%22	https://www.kodub.com/favicon/favicon-48x48.png	C:/Users/franc/Desktop/Coding/PolyTrackMirror/www.kodub.com/favicon/favicon-48x48.png	(from https://www.kodub.com/apps/polytrack)
18:26:56	10748/10748	---M--	200	added ('OK')	image/png	etag:%2229fc-5e2b0fb223dc0%22	https://www.kodub.com/favicon/favicon-192x192.png	C:/Users/franc/Desktop/Coding/PolyTrackMirror/www.kodub.com/favicon/favicon-192x192.png	(from https://www.kodub.com/apps/polytrack)
18:26:56	8801/8801	---M--	200	added ('OK')	image/png	etag:%222261-5e2b1032e2d80%22	https://www.kodub.com/favicon/favicon-167x167.png	C:/Users/franc/Desktop/Coding/PolyTrackMirror/www.kodub.com/favicon/favicon-167x167.png	(from https://www.kodub.com/apps/polytrack)
18:26:57	9650/9650	---M--	200	added ('OK')	image/png	etag:%2225b2-5e2b1047ddf00%22	https://www.kodub.com/favicon/favicon-180x180.png	C:/Users/franc/Desktop/Coding/PolyTrackMirror/www.kodub.com/favicon/favicon-180x180.png	(from https://www.kodub.com/apps/polytrack)
